date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811,90208.43000000001,,89.10770739219785
2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838,90813.251,,83.06979335463257
2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342,91297.553,,75.59385503084752
2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189,91852.0375,,72.70550869185796
2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513,92492.21949999999,,64.05061990405392
2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854,93096.349,,63.89620808983006
2025-05-08,97030.5,104145.76,96876.29,103261.6,34962.02847,94035.69450000001,,75.84223454652683
2025-05-09,103261.61,104361.3,102315.14,102971.99,27617.39907,94930.44350000001,,73.68939926737016
2025-05-10,102971.99,104984.57,102818.76,104809.53,15324.78611,95911.95800000001,,76.22004012247916
2025-05-11,104809.53,104972.0,103345.06,104118.0,17987.12197,96742.04650000001,,76.96196975512238
2025-05-12,104118.0,105819.45,100718.37,102791.32,31272.77792,97209.463,,70.16292803985661
2025-05-13,102791.32,104976.25,101429.7,104103.72,21253.42409,97730.095,,74.80175021988572
2025-05-14,104103.72,104356.95,102602.05,103507.82,16452.9081,98206.4625,,72.92427672708882
2025-05-15,103507.83,104192.7,101383.07,103763.71,17998.98604,98662.714,,69.8734664169073
2025-05-16,103763.71,104550.33,103100.49,103463.9,15683.88024,99104.509,,68.06518316352484
2025-05-17,103463.9,103709.86,102612.5,103126.65,11250.89622,99573.3765,,70.76094598384066
2025-05-18,103126.65,106660.0,103105.09,106454.26,21599.98726,100145.53050000001,,81.61416954855594
2025-05-19,106454.27,107108.62,102000.0,105573.74,30260.03524,100711.3765,,77.53708086203801
2025-05-20,105573.73,107320.0,104184.72,106849.99,23705.48275,101345.276,,76.55548644462442
2025-05-21,106850.0,110797.38,106100.01,109643.99,45531.040345,102002.98,92906.7444,79.39372923957724
2025-05-22,109643.99,111980.0,109177.37,111696.21,31630.77313,102743.4335,93490.3428,74.40964137149462
2025-05-23,111696.22,111800.0,106800.0,107318.3,31737.72309,103316.5275,93972.44700000001,60.171322846962234
2025-05-24,107318.3,109506.03,106875.41,107761.91,16782.53129,103990.742,94449.8878,57.391453255075476
2025-05-25,107761.9,109299.99,106600.64,109004.19,17710.04695,104704.2675,94959.21179999999,61.90456931547247
2025-05-26,109004.2,110422.22,108670.58,109434.79,14649.11593,105334.30600000001,95579.3076,66.92496019361822
2025-05-27,109434.78,110718.0,107516.57,108938.17,21276.65635,105929.68950000001,96174.80619999999,62.850423195167366
2025-05-28,108938.17,109284.7,106769.43,107781.78,15633.78829,106155.69849999998,96803.99339999999,61.03187451731869
2025-05-29,107781.78,108891.91,105322.86,105589.75,19834.70116,106286.5865,97263.484,54.28505052306507
2025-05-30,105589.75,106313.12,103621.0,103985.48,23706.49799,106245.38399999999,97751.04759999999,51.15334811043555
2025-05-31,103985.47,104900.0,103068.55,104591.88,11289.35922,106269.07800000001,98174.4084,53.201889277037324
2025-06-01,104591.88,105866.91,103752.49,105642.93,9709.70006,106411.65849999999,98581.729,48.03114906463018
2025-06-02,105642.93,105935.63,103659.88,105857.99,13453.98813,106499.372,99023.68879999999,50.712810119421086
2025-06-03,105858.0,106794.67,104872.5,105376.89,13259.52634,106592.8255,99439.395,46.15248799333873
2025-06-04,105376.9,106000.0,104179.0,104696.86,14034.89482,106639.48300000001,99860.45239999998,35.474882806788415
2025-06-05,104696.86,105909.71,100372.26,101508.68,22321.50154,106541.722,100210.0184,21.95917212434759
2025-06-06,101508.69,105333.0,101095.8,104288.44,15839.07385,106599.8115,100596.829,40.855947047752885
2025-06-07,104288.43,105900.0,103871.09,105552.15,8344.93206,106554.706,101018.3782,43.645542654829775
2025-06-08,105552.15,106488.14,104964.14,105734.0,8048.06305,106562.719,101431.51800000001,39.985361715680426
