date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-04-02,1904.98,1957.0,1781.53,1795.22,750840.7823,,,
2025-04-03,1795.21,1845.26,1750.0,1817.23,508075.018,,,
2025-04-04,1817.23,1835.68,1758.72,1816.87,572734.4702,,,
2025-04-05,1816.88,1827.29,1764.39,1806.01,201716.2696,,,
2025-04-06,1806.02,1817.0,1537.5,1580.76,979847.0958,,,
2025-04-07,1580.77,1639.0,1411.01,1553.04,2168796.0067,,,
2025-04-08,1553.04,1618.67,1441.3,1473.41,891846.1327,,,
2025-04-09,1473.41,1689.0,1385.05,1669.51,1968530.9138,,,
2025-04-10,1669.51,1669.85,1471.02,1522.25,911855.3934,,,
2025-04-11,1522.24,1591.47,1504.63,1566.85,578484.3183,,,
2025-04-12,1566.85,1669.59,1546.06,1644.18,501867.9033,,,
2025-04-13,1644.19,1649.75,1562.01,1597.76,580136.6145,,,
2025-04-14,1597.76,1691.5,1595.56,1623.77,645930.1419,,,
2025-04-15,1623.78,1661.21,1583.12,1588.78,476178.8915,,,39.00206704029662
2025-04-16,1588.77,1613.66,1538.07,1577.14,611387.8686,,,38.52427961017913
2025-04-17,1577.15,1616.96,1563.2,1583.62,449870.3628,,,37.50280853795538
2025-04-18,1583.63,1600.64,1573.54,1588.6,200409.0359,,,37.84854195279312
2025-04-19,1588.6,1631.81,1585.01,1613.27,223096.3899,,,39.88857178830738
2025-04-20,1613.26,1619.19,1565.59,1587.36,276052.2306,,,50.43781675378777
2025-04-21,1587.36,1658.75,1564.07,1579.57,691486.6667,1629.26,,51.80768863874845
2025-04-22,1579.57,1778.0,1537.26,1756.26,1103036.9586,1627.312,,67.02131500716116
2025-04-23,1756.25,1834.86,1744.95,1795.07,887545.6316,1626.204,,59.3203479913299
2025-04-24,1795.08,1802.82,1722.9,1769.65,483465.0385,1623.843,,72.41998042556278
2025-04-25,1769.64,1827.32,1738.6,1784.6,595610.8894,1622.7724999999998,,70.8536842306882
2025-04-26,1784.6,1841.16,1778.94,1820.88,355068.0442,1634.7785,,68.36645601197407
2025-04-27,1820.87,1857.47,1781.9,1791.29,340332.6435,1646.691,,70.84509166110166
2025-04-28,1791.29,1827.98,1744.71,1799.88,587269.743,1663.0145,,69.70836410841784
2025-04-29,1799.88,1842.99,1780.47,1797.81,480456.3884,1669.4295000000002,,75.25309879913982
2025-04-30,1797.81,1816.8,1731.7,1793.61,473523.9877,1682.9975,,76.63066210663578
2025-05-01,1793.62,1873.17,1792.52,1838.11,537198.7291,1696.5605,,78.62976712791087
2025-05-02,1838.1,1871.0,1813.0,1842.2,410667.875,1706.4615,,78.58688790693478
2025-05-03,1842.2,1848.6,1810.0,1833.52,213751.5979,1718.2495,,75.75601655869211
2025-05-04,1833.52,1849.95,1803.0,1808.86,238254.3564,1727.5040000000001,,75.97813848752108
2025-05-05,1808.86,1833.55,1781.85,1820.19,342341.0078,1739.0745,,77.98818219885541
2025-05-06,1820.19,1820.9,1752.0,1817.0,384584.2451,1751.0674999999999,,61.84662193789979
2025-05-07,1817.0,1850.0,1787.01,1811.11,456170.0705,1762.4419999999998,,53.5893304690297
2025-05-08,1811.11,2226.0,1808.71,2207.39,1473152.686,1793.3815,,86.82820124516229
2025-05-09,2207.39,2490.77,2184.33,2345.04,1667041.0382,1829.97,,89.08228730822866
2025-05-10,2345.04,2600.0,2317.0,2583.23,979350.1606,1879.7635000000002,,91.4812114352874
2025-05-11,2583.22,2608.13,2435.51,2514.57,831584.3888,1926.5135000000002,,87.75026618509779
2025-05-12,2514.58,2624.0,2406.63,2495.47,1068680.9433,1963.4740000000002,,85.9110574192815
2025-05-13,2495.48,2738.5,2415.3,2679.71,1031355.6465,2007.7060000000001,,88.3214850607477
2025-05-14,2679.71,2725.99,2547.26,2609.74,830047.1122,2049.7105,,83.54611444966002
2025-05-15,2609.75,2647.03,2476.03,2548.69,768954.0332,2087.915,,78.81555256370743
2025-05-16,2548.7,2649.31,2529.4,2537.12,605953.6919,2123.727,,78.01057672153875
2025-05-17,2537.13,2538.16,2446.42,2475.08,494333.2782,2157.9165000000003,,74.7932479015628
2025-05-18,2475.09,2587.61,2323.21,2497.78,810103.1851,2192.8115,,76.66387998699548
2025-05-19,2497.78,2547.36,2348.38,2528.14,861747.523,2229.328,,77.00264705657986
2025-05-20,2528.14,2588.63,2442.4,2524.19,676989.1747,2265.857,,76.95802996226126
